Subject	Age	Gender	Scolarity	Handedness	Session	Stimulus_Type	Ita_Word	Eng_Word	Accuracy	RTs
1	22	male	16	right	1	Pseudoword	MUGLA		1	519
1	22	male	16	right	1	Word	LIBERO	free	1	616
1	22	male	16	right	1	Word	GIOIELLO	jewel	1	755
1	22	male	16	right	1	Pseudoword	STALCONE		1	612
1	22	male	16	right	1	Word	NEVE	snow	1	668
1	22	male	16	right	1	Pseudoword	TUDIOMATTA		1	832
1	22	male	16	right	1	Pseudoword	STOCCATE		1	1055
1	22	male	16	right	1	Word	GRAZIOSO	pretty	1	611
1	22	male	16	right	1	Word	SPAZIO	space	1	550
1	22	male	16	right	1	Pseudoword	ICORTISO		1	686
1	22	male	16	right	1	Pseudoword	RISIMI		1	529
1	22	male	16	right	1	Word	RASOIO	razor	1	631
1	22	male	16	right	1	Pseudoword	TRAPORCARE		1	628
1	22	male	16	right	1	Pseudoword	USTENDA		1	575
1	22	male	16	right	1	Pseudoword	TIDAPO		1	1429
1	22	male	16	right	1	Word	PIGRO	lazy	1	957
1	22	male	16	right	1	Word	MALATTIA	illness	1	714
1	22	male	16	right	1	Pseudoword	INGASIMITE		1	687
1	22	male	16	right	1	Pseudoword	BERANTICO		1	764
1	22	male	16	right	1	Pseudoword	APATO		1	894
1	22	male	16	right	1	Word	BOLLENTE	scalding	1	675
1	22	male	16	right	1	Word	FAMIGLIA	family	1	516
1	22	male	16	right	1	Word	ELICOTTERO	helicopter	1	818
1	22	male	16	right	1	Pseudoword	OVVELATEVI		1	927
1	22	male	16	right	1	Word	SPILLATRICE	stapler	1	1509
1	22	male	16	right	1	Pseudoword	AMPOSFO		1	650
1	22	male	16	right	1	Word	INSULTO	insult	1	566
1	22	male	16	right	1	Word	ALLERTA	alert	1	712
1	22	male	16	right	1	Pseudoword	SFRAPICO		1	952
1	22	male	16	right	1	Word	PROSTITUTA	whore	1	644
1	22	male	16	right	1	Pseudoword	BENTANDO		1	718
1	22	male	16	right	1	Pseudoword	UTORTI		1	893
1	22	male	16	right	1	Pseudoword	CANIBURVI		1	639
1	22	male	16	right	1	Pseudoword	AVIRBI		1	837
1	22	male	16	right	1	Pseudoword	DUFANSE		1	544
1	22	male	16	right	1	Word	VINCERE	win	1	770
1	22	male	16	right	1	Word	SCHIACCIATO	crushed	1	710
1	22	male	16	right	1	Word	FORTUNATO	lucky	1	587
1	22	male	16	right	1	Word	REVOLVER	revolver	1	665
1	22	male	16	right	1	Pseudoword	FALADO		1	1022
1	22	male	16	right	1	Pseudoword	OSCRANA		1	698
1	22	male	16	right	1	Word	LEBBRA	leprosy	0	601
1	22	male	16	right	1	Word	FILM	movie	0	597
1	22	male	16	right	1	Word	ASSEDIATO	embattled	1	919
1	22	male	16	right	1	Word	PASSAGGIO	passage	1	572
1	22	male	16	right	1	Pseudoword	NIDARVA		1	746
1	22	male	16	right	1	Word	OBESITÀ	obesity	1	603
1	22	male	16	right	1	Pseudoword	ATTOTEMI		1	783
1	22	male	16	right	1	Pseudoword	SCAMI		1	1567
1	22	male	16	right	1	Word	MATERIALE	material	1	1342
1	22	male	16	right	1	Pseudoword	GRAZZI		1	772
1	22	male	16	right	1	Word	ORRIBILE	dreadful	1	600
1	22	male	16	right	1	Word	OMICIDA	murderer	1	461
1	22	male	16	right	1	Word	SOLE	sun	1	490
1	22	male	16	right	1	Word	VIOLINO	violin	1	418
1	22	male	16	right	1	Word	BRUCIATURA	burn	1	692
1	22	male	16	right	1	Pseudoword	GESSISMO		0	460
1	22	male	16	right	1	Word	BUIO	dark	1	768
1	22	male	16	right	1	Word	DANNEGGIARE	impair	1	657
1	22	male	16	right	1	Pseudoword	TRARAGNE		1	888
1	22	male	16	right	1	Pseudoword	PACI		1	651
1	22	male	16	right	1	Word	BURRO	butter	1	756
1	22	male	16	right	1	Word	ACCOGLIENTE	cozy	1	1096
1	22	male	16	right	1	Word	GOLFISTA	golfer	1	1216
1	22	male	16	right	1	Word	PENTOLA	pot	1	748
1	22	male	16	right	1	Word	STRITOLARE	mangle	1	784
1	22	male	16	right	1	Word	TRAUMA	trauma	1	597
1	22	male	16	right	1	Pseudoword	DISESPARTARE		1	884
1	22	male	16	right	1	Word	PASTA	pasta	1	624
1	22	male	16	right	1	Word	VILLAGGIO	village	1	1129
1	22	male	16	right	1	Pseudoword	RIGIRCA		1	740
1	22	male	16	right	1	Pseudoword	TRASDANGATO		1	741
1	22	male	16	right	1	Pseudoword	ZICCAVA		1	659
1	22	male	16	right	1	Pseudoword	RIRRIDETE		1	1021
1	22	male	16	right	1	Word	FERITO	hurt	1	590
1	22	male	16	right	1	Pseudoword	BOTO		1	748
1	22	male	16	right	1	Word	MUTAZIONE	mutation	1	1051
1	22	male	16	right	1	Pseudoword	CASENDA		1	862
1	22	male	16	right	1	Word	ZAFFIRO	sapphire	1	671
1	22	male	16	right	1	Pseudoword	SPOVATIRCI		1	724
